Type of relationship,WordPair1_A,WordPair1_B,WordPair2_A,WordPair2_B
Common capital city,Athens,Greece,Oslo,Norway
All capital cities,Astana,Kazakhstan,Harare,Zimbabwe
Currency,Angola,kwanza,Iran,rial
City-in-state,Chicago,Illinois,Stockton,California
Man-Woman,brother,sister,grandson,granddaughter
Adjective to adverb,apparent,apparently,rapid,rapidly
Opposite,possibly,impossibly,ethical,unethical
Comparative,great,greater,tough,tougher
Superlative,easy,easiest,lucky,luckiest
Present Participle,think,thinking,read,reading
Nationality adjective,Switzerland,Swiss,Cambodia,Cambodian
Past tense,walking,walked,swimming,swam
Plural nouns,mouse,mice,dollar,dollars
Plural verbs,work,works,speak,speaks
